Image, KNN Similarity (%), HTM Similarity (%)
ReconstructedSDR_0, 85.59, 87.60
ReconstructedSDR_1, 85.59, 87.60
ReconstructedSDR_2, 85.59, 87.60
ReconstructedSDR_3, 85.10, 86.28
ReconstructedSDR_4, 85.59, 87.60
ReconstructedSDR_5, 85.59, 87.60
ReconstructedSDR_6, 85.59, 87.60
ReconstructedSDR_7, 85.59, 87.60
ReconstructedSDR_8, 85.59, 87.60
ReconstructedSDR_9, 85.59, 87.60
ReconstructedSDR_10, 85.59, 87.60
ReconstructedSDR_11, 85.59, 87.60
ReconstructedSDR_12, 85.09, 86.27
ReconstructedSDR_13, 85.59, 87.60
ReconstructedSDR_14, 85.59, 87.60
ReconstructedSDR_15, 85.59, 87.60
ReconstructedSDR_16, 85.59, 87.60
ReconstructedSDR_17, 85.59, 87.60
ReconstructedSDR_18, 85.59, 87.60
ReconstructedSDR_19, 85.59, 87.60
ReconstructedSDR_20, 85.59, 87.60
ReconstructedSDR_21, 85.09, 86.27
ReconstructedSDR_22, 85.59, 87.60
ReconstructedSDR_23, 85.59, 87.60
ReconstructedSDR_24, 85.59, 87.60
ReconstructedSDR_25, 85.59, 87.60
ReconstructedSDR_26, 85.59, 87.60
ReconstructedSDR_27, 85.59, 87.60
ReconstructedSDR_28, 85.59, 87.60
ReconstructedSDR_29, 85.59, 87.60
ReconstructedSDR_30, 85.09, 86.27
ReconstructedSDR_31, 85.59, 87.60
ReconstructedSDR_32, 85.59, 87.60
ReconstructedSDR_33, 85.59, 87.60
ReconstructedSDR_34, 85.59, 87.60
ReconstructedSDR_35, 85.59, 87.60
ReconstructedSDR_36, 85.59, 87.60
ReconstructedSDR_37, 85.59, 87.60
ReconstructedSDR_38, 85.59, 87.60
ReconstructedSDR_39, 85.09, 86.27
ReconstructedSDR_40, 85.59, 87.60
ReconstructedSDR_41, 85.59, 87.60
ReconstructedSDR_42, 85.59, 87.60
ReconstructedSDR_43, 85.59, 87.60
ReconstructedSDR_44, 85.59, 87.60
ReconstructedSDR_45, 85.59, 87.60
ReconstructedSDR_46, 85.59, 87.60
ReconstructedSDR_47, 85.59, 87.60
ReconstructedSDR_48, 85.09, 86.27
ReconstructedSDR_49, 85.59, 87.60
ReconstructedSDR_50, 85.59, 87.60
ReconstructedSDR_51, 52.36, 71.15
ReconstructedSDR_52, 0.00, 0.00
ReconstructedSDR_53, 45.37, 61.54
ReconstructedSDR_54, 16.56, 36.93
ReconstructedSDR_55, 52.47, 66.64
ReconstructedSDR_56, 0.00, 0.00
ReconstructedSDR_57, 0.00, 0.00
ReconstructedSDR_58, 0.00, 0.00
ReconstructedSDR_59, 0.00, 0.00
ReconstructedSDR_60, 41.62, 59.48
ReconstructedSDR_61, 0.00, 0.00
ReconstructedSDR_62, 44.79, 60.82
ReconstructedSDR_63, 31.53, 41.41
ReconstructedSDR_64, 19.40, 41.38
ReconstructedSDR_65, 0.00, 0.00
ReconstructedSDR_66, 0.00, 0.00
ReconstructedSDR_67, 0.00, 0.00
ReconstructedSDR_68, 0.00, 0.00
ReconstructedSDR_69, 29.18, 40.16
ReconstructedSDR_70, 0.00, 0.00
ReconstructedSDR_71, 22.28, 43.15
ReconstructedSDR_72, 20.11, 33.23
ReconstructedSDR_73, 30.10, 33.82
ReconstructedSDR_74, 0.00, 0.00
ReconstructedSDR_75, 0.00, 0.00
ReconstructedSDR_76, 0.00, 0.00
ReconstructedSDR_77, 0.00, 0.00
ReconstructedSDR_78, 10.72, 26.24
ReconstructedSDR_79, 12.01, 12.01
ReconstructedSDR_80, 25.21, 36.07
ReconstructedSDR_81, 14.31, 19.44
ReconstructedSDR_82, 6.30, 21.82
ReconstructedSDR_83, 0.00, 0.00
ReconstructedSDR_84, 0.00, 0.00
ReconstructedSDR_85, 0.00, 0.00
ReconstructedSDR_86, 0.00, 12.15
ReconstructedSDR_87, 16.26, 29.69
ReconstructedSDR_88, 0.00, 11.02
ReconstructedSDR_89, 19.86, 31.44
ReconstructedSDR_90, 12.97, 15.36
ReconstructedSDR_91, 0.00, 10.13
ReconstructedSDR_92, 0.00, 0.00
ReconstructedSDR_93, 0.00, 12.68
ReconstructedSDR_94, 0.00, 0.00
ReconstructedSDR_95, 0.00, 0.00
ReconstructedSDR_96, 0.00, 22.66
ReconstructedSDR_97, 0.00, 0.00
ReconstructedSDR_98, 5.72, 18.90
ReconstructedSDR_99, 0.00, 0.00
ReconstructedSDR_100, 83.74, 84.62
ReconstructedSDR_101, 0.00, 0.00
ReconstructedSDR_102, 0.00, 0.00
ReconstructedSDR_103, 0.00, 0.00
ReconstructedSDR_104, 0.00, 0.00
ReconstructedSDR_105, 83.27, 85.34
ReconstructedSDR_106, 0.00, 0.00
ReconstructedSDR_107, 86.36, 86.97
ReconstructedSDR_108, 88.47, 88.64
ReconstructedSDR_109, 84.33, 84.92
ReconstructedSDR_110, 0.00, 0.00
ReconstructedSDR_111, 0.00, 0.00
ReconstructedSDR_112, 0.00, 0.00
ReconstructedSDR_113, 0.00, 0.00
ReconstructedSDR_114, 83.27, 85.34
ReconstructedSDR_115, 0.00, 0.00
ReconstructedSDR_116, 86.36, 86.97
ReconstructedSDR_117, 88.47, 88.64
ReconstructedSDR_118, 84.33, 84.92
ReconstructedSDR_119, 0.00, 0.00
ReconstructedSDR_120, 0.00, 0.00
